Year,"Crude Birth Rate (No. of known live births per 1,000 population)",Male Known Births,Female Known Births,Total Births,Birth Rate Category,Yearly Growth Rate,Lagged Total Births (6 Years)
1981,16.8,44610,42141,86751,High,,
1982,16.4,44351,41769,86120,High,-0.727369137,
1983,15.6,42836,40457,83293,High,-3.28262889,
1984,14.4,39943,37354,77297,High,-7.198684163,
1985,14,39296,36830,76126,High,-1.514935897,
1986,13,36917,34703,71620,High,-5.919134067,
1987,12.6,35979,33979,69958,High,-2.320580843,86751
1988,13.4,39046,36366,75412,High,7.796106235,86120
1989,12.3,35815,33806,69621,High,-7.679149207,83293
1990,12,35115,32616,67731,High,-2.714698151,77297
1991,12,35197,33084,68281,High,0.8120358477,76126
1992,12.3,36700,34249,70949,High,3.907382727,71620
1993,12,36505,33946,70451,High,-0.7019126415,69958
1994,11.9,37278,34368,71646,Medium,1.69621439,75412
1995,11.2,35566,33071,68637,Medium,-4.199815761,69621
1996,9.9,32664,30627,63291,Medium,-7.788801958,67731
1997,9.1,30880,28370,59250,Medium,-6.384794047,68281
1998,8.1,27718,25259,52977,Medium,-10.58734177,70949
1999,7.8,26712,24569,51281,Low,-3.201389282,70451
2000,8.1,28280,25854,54134,Medium,5.563464051,71646
2001,7.2,25160,23059,48219,Low,-10.92658957,68637
2002,7.1,24955,23254,48209,Low,-0.02073871296,63291
2003,7,24406,22559,46965,Low,-2.58043104,59250
2004,7.3,25827,23969,49796,Low,6.027893112,52977
2005,8.4,29880,27218,57098,Medium,14.66382842,51281
2006,9.6,34595,31031,65626,Medium,14.93572454,54134
2007,10.2,37448,33427,70875,Medium,7.998354311,48219
2008,11.3,41928,36894,78822,Medium,11.21269841,48209
2009,11.8,43966,38129,82095,Medium,4.152394002,46965
2010,12.6,47366,41218,88584,High,7.904257263,49796
2011,13.5,51286,44165,95451,High,7.751964237,57098
2012,12.8,48777,42781,91558,High,-4.078532441,65626
2013,8,29806,27278,57084,Medium,-37.65263549,70875
2014,8.6,32262,30043,62305,Medium,9.146170556,78822
2015,8.2,31218,28660,59878,Medium,-3.895353503,82095
2016,8.3,31724,29132,60856,Medium,1.633321086,88584
2017,7.6,29236,27312,56548,Low,-7.079006179,95451
2018,7.2,27896,25820,53716,Low,-5.008134682,91558
2019,7,27695,25161,52856,Low,-1.601012734,57084
2020,5.8,22463,20568,43031,Low,-18.58823975,62305
2021,5,18960,17993,36953,Low,-14.1247008,59878
2022,4.4,16838,15663,32501,Low,-12.04773631,60856
2023,4.4,17414,15818,33232,Low,2.249161564,56548
2024,4.9,19229,17483,36712,Low,10.47183438,53716
